Precio,Area,Habitaciones,Banios,Pisos,Carretera,Huespedes,Sotano,Calefaccion,AC,Estacionamiento,Preferencial,Mobiliario
3724000.0,7420.0,4.0,2.0,3,0,1,1,1,0,2,0,0
3430000.0,8960.0,4.0,4.0,4,0,1,1,1,0,3,1,0
3430000.0,9960.0,3.0,2.0,2,0,1,0,1,1,2,0,1
3194800.0,7420.0,4.0,1.0,2,0,0,0,1,0,2,1,0
3038000.0,7500.0,3.0,3.0,1,0,1,0,1,0,2,0,1
2842000.0,8580.0,4.0,3.0,4,0,1,1,1,0,2,0,1
2842000.0,16200.0,5.0,3.0,2,0,1,1,1,1,0,1,2
2763600.0,8100.0,4.0,1.0,2,0,0,0,1,0,2,0,0
2744000.0,5750.0,3.0,2.0,4,0,0,1,1,0,1,0,2
2744000.0,13200.0,3.0,1.0,2,0,1,0,1,0,2,0,0
2710680.0,6000.0,4.0,3.0,2,0,0,0,0,1,2,1,1
2606800.0,6550.0,4.0,2.0,2,0,1,1,1,0,1,0,1
2587200.0,3500.0,4.0,2.0,2,0,1,1,0,1,2,1,0
2587200.0,7800.0,3.0,2.0,2,0,1,1,1,1,0,0,1
2548000.0,6000.0,4.0,1.0,2,0,1,0,1,1,2,1,1
2548000.0,6600.0,4.0,2.0,2,0,0,0,1,0,1,0,2
2508800.0,8500.0,3.0,2.0,4,0,1,1,1,0,2,1,0
2489200.0,4600.0,3.0,2.0,2,0,0,1,1,0,2,1,0
2479400.0,6420.0,3.0,2.0,2,0,1,1,1,0,1,0,1
2450000.0,4320.0,3.0,1.0,2,0,1,0,0,1,2,1,1
2430400.0,7155.0,3.0,2.0,1,0,0,0,1,0,2,1,2
2420600.0,8050.0,3.0,1.0,1,0,0,0,1,0,1,1,0
2420600.0,4560.0,3.0,2.0,2,0,0,0,1,0,1,1,0
2401000.0,8800.0,3.0,2.0,2,0,1,1,1,0,2,1,0
2391200.0,6540.0,4.0,2.0,2,0,0,0,1,0,2,0,0
2369640.0,6000.0,3.0,2.0,4,0,0,0,1,0,0,0,1
2352000.0,8875.0,3.0,1.0,1,0,1,1,1,1,1,1,1
2352000.0,7950.0,5.0,2.0,2,0,1,0,0,1,2,1,2
2352000.0,5500.0,4.0,2.0,2,0,1,0,1,0,1,0,1
2352000.0,7475.0,3.0,2.0,4,0,1,1,1,0,2,1,2
2352000.0,7000.0,3.0,1.0,4,0,1,1,1,0,2,1,1
2322600.0,4880.0,4.0,2.0,2,0,1,1,1,0,1,0,0
2293200.0,5960.0,3.0,3.0,2,0,0,0,1,1,1,1,2
2273600.0,6840.0,5.0,1.0,2,0,0,0,1,0,1,1,0
2252040.0,7482.0,3.0,2.0,3,0,1,1,0,1,1,0,0
2234400.0,9000.0,4.0,2.0,4,0,1,1,1,0,2,1,0
2229500.0,6000.0,3.0,1.0,4,0,0,1,1,0,2,1,2
2214800.0,6000.0,4.0,2.0,4,0,1,1,1,0,1,1,1
2205000.0,6550.0,3.0,1.0,2,0,1,0,1,0,0,0,0
2195200.0,6360.0,3.0,2.0,4,0,1,1,1,0,0,0,0
2156000.0,6480.0,3.0,2.0,4,0,1,1,1,0,2,1,2
2156000.0,6000.0,4.0,2.0,4,0,1,1,1,1,2,1,1
2116800.0,6000.0,4.0,2.0,4,0,1,1,1,0,1,1,0
2116800.0,6000.0,3.0,2.0,3,0,1,1,1,0,0,1,1
2107000.0,6000.0,3.0,2.0,4,0,1,1,1,0,1,1,0
2097200.0,6600.0,3.0,1.0,4,0,1,1,1,0,3,0,0
2087400.0,4300.0,3.0,2.0,2,0,1,0,1,1,1,1,2
2077600.0,7440.0,3.0,2.0,1,0,0,0,1,0,0,0,1
2077600.0,7440.0,3.0,2.0,4,0,1,1,1,1,1,0,2
2077600.0,6325.0,3.0,1.0,4,0,1,1,1,0,1,1,2
2058000.0,6000.0,4.0,2.0,4,0,0,1,1,0,1,1,0
2058000.0,5150.0,3.0,2.0,4,0,1,1,1,0,2,1,1
2058000.0,6000.0,3.0,2.0,2,0,0,1,1,0,1,1,1
2058000.0,6000.0,3.0,1.0,2,0,1,1,1,0,1,1,2
2056040.0,11440.0,4.0,1.0,2,0,1,0,1,1,1,0,1
2028600.0,9000.0,4.0,2.0,4,0,0,1,1,0,1,0,0
2018800.0,7680.0,4.0,2.0,4,0,0,1,1,0,1,1,1
2018800.0,6000.0,3.0,2.0,4,0,0,1,1,0,1,1,0
1999200.0,6000.0,3.0,2.0,2,0,0,1,1,1,1,1,1
1979600.0,8880.0,2.0,1.0,1,0,1,1,1,0,1,1,1
1979600.0,6240.0,4.0,2.0,2,0,1,1,1,0,1,1,0
1969800.0,6360.0,4.0,2.0,3,0,1,1,1,0,2,0,0
1960000.0,11175.0,3.0,1.0,1,0,1,0,1,0,1,0,0
1940400.0,8880.0,3.0,2.0,2,0,1,0,1,0,1,1,0
1940400.0,13200.0,2.0,1.0,1,0,1,0,0,1,1,1,0
1930600.0,7700.0,3.0,2.0,1,0,1,1,1,1,2,1,2
1920800.0,6000.0,3.0,1.0,1,0,1,1,1,0,1,1,0
1901200.0,12090.0,4.0,2.0,2,0,1,1,1,1,2,0,0
1901200.0,4000.0,3.0,2.0,2,0,1,0,1,0,0,0,1
1891400.0,6000.0,4.0,2.0,4,0,1,1,1,0,0,1,2
1881600.0,5020.0,3.0,1.0,4,0,1,1,1,0,0,0,2
1871800.0,6600.0,2.0,2.0,4,0,1,0,1,1,0,0,0
1862000.0,4040.0,3.0,1.0,2,0,1,0,0,1,1,1,0
1862000.0,4260.0,4.0,2.0,2,0,1,1,0,1,0,1,1
1862000.0,6420.0,3.0,2.0,3,0,1,1,1,0,0,0,0
1862000.0,6500.0,3.0,2.0,3,0,1,1,1,0,0,0,0
1862000.0,5700.0,3.0,1.0,1,0,0,0,1,0,2,0,0
1862000.0,6000.0,3.0,2.0,3,0,0,1,1,0,0,1,0
1856120.0,6000.0,3.0,1.0,2,0,1,1,0,1,1,0,1
1852200.0,4000.0,3.0,2.0,2,0,1,0,1,0,1,1,1
1852200.0,10500.0,3.0,2.0,1,0,1,0,1,0,1,0,0
1842400.0,6000.0,3.0,2.0,4,0,1,1,1,0,0,1,1
1822800.0,3760.0,3.0,1.0,2,0,1,1,0,1,2,1,1
1822800.0,8250.0,3.0,2.0,3,0,1,1,1,0,0,1,0
1822800.0,6670.0,3.0,1.0,3,0,1,0,1,1,0,0,2
1813000.0,3960.0,3.0,1.0,1,0,1,0,1,1,2,1,1
1813000.0,7410.0,3.0,1.0,1,0,0,0,1,0,2,0,2
1803200.0,8580.0,5.0,3.0,2,0,1,1,1,1,2,1,0
1797320.0,6750.0,2.0,1.0,1,0,0,0,1,1,2,0,0
1793400.0,4800.0,3.0,2.0,4,0,0,1,1,0,0,1,0
1764000.0,7200.0,3.0,2.0,1,0,1,0,1,0,3,1,1
1764000.0,4100.0,3.0,2.0,3,0,1,1,1,0,2,1,1
1764000.0,9000.0,3.0,1.0,1,0,1,0,1,1,1,0,0
1764000.0,6400.0,3.0,1.0,1,0,0,0,1,0,1,0,1
1762040.0,6600.0,3.0,2.0,3,0,1,1,1,0,0,0,2
1744400.0,6600.0,3.0,2.0,1,0,1,0,1,0,0,0,2
1744400.0,5500.0,3.0,1.0,3,0,1,1,1,1,1,0,2
1734600.0,5500.0,3.0,2.0,4,0,0,1,1,0,1,1,1
1734600.0,6350.0,3.0,2.0,3,0,0,1,1,0,0,1,0
1734600.0,5500.0,3.0,2.0,1,0,0,0,1,1,2,0,0
1724800.0,4500.0,3.0,1.0,4,0,1,1,1,0,0,1,2
1715000.0,6420.0,3.0,1.0,3,0,1,0,1,1,0,0,2
1710100.0,3240.0,4.0,1.0,3,0,1,1,1,1,1,1,1
1705200.0,6615.0,4.0,2.0,2,0,0,1,0,1,1,1,1
1705200.0,6600.0,3.0,1.0,1,0,0,0,1,1,2,0,1
1705200.0,8372.0,3.0,1.0,3,0,1,1,1,0,2,1,2
1703240.0,4300.0,6.0,2.0,2,0,1,1,1,1,0,1,0
1703240.0,9620.0,3.0,1.0,1,0,1,0,1,1,2,0,0
1685600.0,6800.0,2.0,1.0,1,0,0,0,1,1,2,1,0
1685600.0,8000.0,3.0,1.0,1,0,0,0,1,0,2,0,1
1685600.0,6900.0,3.0,2.0,1,0,0,0,1,1,0,0,2
1666000.0,3700.0,4.0,1.0,2,0,0,1,1,0,0,1,0
1666000.0,6420.0,3.0,1.0,1,0,1,0,1,0,0,0,0
1666000.0,7020.0,3.0,1.0,1,0,1,0,1,0,2,0,1
1666000.0,6540.0,3.0,1.0,1,0,0,0,1,1,2,0,0
1666000.0,6254.0,4.0,2.0,1,0,1,0,1,1,1,0,1
1666000.0,7320.0,4.0,2.0,2,0,1,1,1,1,0,1,0
1664040.0,15600.0,3.0,1.0,1,0,1,1,1,0,2,1,1
1646400.0,7160.0,3.0,1.0,1,0,1,0,1,1,2,0,2
1646400.0,6500.0,3.0,2.0,3,0,1,1,1,0,0,1,2
1644440.0,11460.0,3.0,1.0,3,0,1,1,1,1,2,0,1
1642480.0,4800.0,3.0,1.0,1,0,0,0,1,1,0,1,2
1626800.0,5828.0,4.0,1.0,4,0,0,1,1,1,0,1,1
1626800.0,5200.0,3.0,1.0,3,0,1,1,1,0,0,1,1
1626800.0,4800.0,3.0,1.0,3,0,1,1,1,0,0,1,2
1624840.0,7000.0,3.0,1.0,541,0,1,0,1,1,2,0,1
1607200.0,5400.0,4.0,2.0,2,0,1,1,1,0,2,1,2
1607200.0,4640.0,4.0,1.0,2,0,1,1,1,1,1,1,1
1607200.0,5000.0,3.0,1.0,3,0,1,1,1,0,0,1,1
1607200.0,5800.0,3.0,2.0,4,0,1,1,1,0,0,1,2
1582700.0,6660.0,4.0,2.0,2,0,0,0,1,1,1,0,1
1568000.0,10500.0,4.0,2.0,2,0,1,1,1,1,1,1,1
1568000.0,4700.0,4.0,1.0,2,0,0,0,1,0,1,1,0
1568000.0,5000.0,3.0,1.0,4,0,1,1,1,1,0,1,0
1568000.0,10500.0,2.0,1.0,1,0,1,1,1,1,1,1,1
1568000.0,5500.0,3.0,2.0,2,0,1,1,1,1,1,1,1
1568000.0,6360.0,3.0,1.0,3,0,1,1,1,1,0,0,1
1568000.0,6600.0,4.0,2.0,1,0,1,0,1,1,0,0,1
1568000.0,5136.0,3.0,1.0,2,0,0,0,1,0,0,0,2
1558200.0,4400.0,4.0,1.0,2,0,1,1,1,0,2,0,1
1558200.0,5400.0,5.0,1.0,2,0,0,0,1,0,0,0,0
1548400.0,3300.0,3.0,3.0,2,0,1,0,1,1,0,1,1
1548400.0,3650.0,3.0,2.0,2,0,1,1,1,1,2,1,1
1548400.0,6100.0,3.0,2.0,1,0,1,0,1,1,2,0,0
1546440.0,6900.0,3.0,1.0,1,0,0,0,1,1,0,0,1
1538600.0,2817.0,4.0,2.0,2,1,0,0,1,1,1,1,0
1538600.0,7980.0,3.0,1.0,1,0,1,1,1,1,2,1,1
1528800.0,3150.0,3.0,2.0,1,0,0,0,1,0,0,1,0
1528800.0,6210.0,4.0,1.0,4,0,0,1,1,0,0,1,0
1528800.0,6100.0,3.0,1.0,3,0,0,1,1,0,0,0,1
1528800.0,6600.0,4.0,2.0,2,0,0,0,1,1,0,0,1
1519000.0,6825.0,3.0,1.0,1,0,0,0,1,0,0,0,1
1509200.0,6710.0,3.0,2.0,2,0,0,0,1,1,1,0,0
1507240.0,6450.0,3.0,2.0,1,0,0,0,0,1,0,1,2
1489600.0,7800.0,3.0,1.0,1,0,1,0,1,0,2,0,2
1479800.0,4600.0,2.0,2.0,1,0,1,1,1,0,2,1,1
1470000.0,4260.0,4.0,1.0,2,0,1,0,1,0,0,1,0
1470000.0,6540.0,4.0,2.0,2,1,1,1,1,0,0,1,1
1470000.0,5500.0,3.0,2.0,1,0,1,0,1,1,0,1,1
1470000.0,10269.0,3.0,1.0,1,0,1,1,1,1,1,0,1
1470000.0,8400.0,3.0,1.0,2,0,0,0,1,0,2,0,2
1470000.0,5300.0,4.0,2.0,1,0,1,1,1,0,0,0,2
1470000.0,3800.0,3.0,1.0,2,0,0,0,1,1,1,0,2
1470000.0,9800.0,4.0,2.0,2,0,0,1,1,1,2,1,1
1470000.0,8520.0,3.0,1.0,1,0,1,1,1,0,2,1,0
1468040.0,6050.0,3.0,1.0,1,0,1,0,1,1,0,0,1
1464120.0,7085.0,3.0,1.0,1,0,0,0,1,1,2,0,1
1460200.0,3180.0,3.0,2.0,2,0,1,1,1,1,2,1,1
1460200.0,4500.0,4.0,2.0,1,1,1,0,1,0,2,1,1
1460200.0,7200.0,3.0,1.0,2,0,0,0,1,1,1,0,0
1440600.0,3410.0,3.0,1.0,2,1,1,1,1,0,0,1,1
1440600.0,7980.0,3.0,1.0,1,0,1,1,1,1,1,0,1
1430800.0,3000.0,3.0,2.0,2,0,0,0,1,1,0,1,0
1430800.0,3000.0,3.0,1.0,2,0,1,0,1,1,0,1,2
1430800.0,11410.0,2.0,1.0,2,0,1,1,1,1,0,0,0
1430800.0,6100.0,3.0,1.0,1,0,1,0,1,0,0,0,1
1421000.0,5720.0,2.0,1.0,2,0,1,1,1,0,0,0,2
1411200.0,3540.0,2.0,1.0,1,1,0,0,1,1,0,1,1
1411200.0,7600.0,4.0,1.0,2,0,1,1,1,0,2,1,0
1411200.0,10700.0,3.0,1.0,2,0,0,0,1,1,0,1,1
1411200.0,6600.0,3.0,1.0,1,0,0,0,1,1,0,0,0
1409240.0,4800.0,2.0,1.0,1,0,0,0,1,1,0,1,1
1401400.0,8150.0,3.0,2.0,1,0,0,0,1,1,0,1,1
1391600.0,4410.0,4.0,3.0,2,0,1,0,1,1,2,1,1
1391600.0,7686.0,3.0,1.0,1,0,0,0,0,1,0,1,1
1387680.0,2800.0,3.0,2.0,2,1,1,0,1,0,1,1,1
1381800.0,5948.0,3.0,1.0,2,0,1,1,1,0,0,1,1
1373960.0,4200.0,3.0,1.0,2,0,1,1,1,1,1,1,0
1372000.0,4520.0,3.0,1.0,2,0,1,0,1,0,0,1,1
1372000.0,4095.0,3.0,1.0,2,1,0,0,1,0,0,1,1
1372000.0,4120.0,2.0,1.0,1,0,1,0,1,1,1,1,1
1372000.0,5400.0,4.0,1.0,2,0,1,1,1,1,0,1,1
1372000.0,4770.0,3.0,1.0,1,0,0,0,1,1,0,1,1
1372000.0,6300.0,3.0,1.0,1,0,1,1,1,0,2,1,1
1372000.0,5800.0,2.0,1.0,1,0,0,0,1,0,0,1,1
1372000.0,3000.0,3.0,1.0,2,0,1,0,1,0,0,1,1
1372000.0,2970.0,3.0,1.0,3,0,1,1,1,1,0,1,1
1372000.0,6720.0,3.0,1.0,1,0,1,1,1,1,0,1,2
1372000.0,4646.0,3.0,1.0,2,0,0,0,1,1,2,1,1
1372000.0,12900.0,3.0,1.0,1,0,1,1,1,1,2,1,0
1370040.0,3420.0,4.0,2.0,2,0,1,0,1,0,2,1,1
1370040.0,4995.0,4.0,2.0,1,0,1,0,1,1,0,1,1
1362200.0,4350.0,2.0,1.0,1,0,1,0,1,1,0,1,2
1352400.0,4160.0,3.0,1.0,3,0,1,1,1,1,0,1,2
1352400.0,6040.0,3.0,1.0,1,0,1,1,1,1,2,0,1
1352400.0,6862.0,3.0,1.0,2,0,1,1,1,0,2,0,0
1352400.0,4815.0,2.0,1.0,1,0,1,1,1,0,0,0,1
1342600.0,7000.0,3.0,1.0,2,0,1,0,1,1,0,1,2
1342600.0,8100.0,4.0,1.0,4,0,1,0,1,0,2,1,1
1334760.0,3420.0,4.0,2.0,2,0,1,1,1,1,0,1,1
1332800.0,9166.0,2.0,1.0,1,0,1,0,1,0,2,1,1
1332800.0,6321.0,3.0,1.0,2,0,1,0,1,0,1,1,0
1332800.0,10240.0,2.0,1.0,1,0,1,1,1,0,2,0,2
1330840.0,6440.0,2.0,1.0,1,0,1,1,1,0,3,1,1
1313200.0,5170.0,3.0,1.0,4,0,1,1,1,0,0,1,1
1313200.0,6000.0,2.0,1.0,1,0,1,0,1,0,1,1,0
1313200.0,3630.0,3.0,1.0,2,0,1,1,1,1,2,1,1
1313200.0,9667.0,4.0,2.0,2,0,0,0,1,1,1,1,1
1313200.0,5400.0,2.0,1.0,2,0,1,1,1,1,0,0,1
1313200.0,4320.0,3.0,1.0,1,0,1,1,1,1,0,0,1
1303400.0,3745.0,3.0,1.0,2,0,1,0,1,1,0,1,0
1293600.0,4160.0,3.0,1.0,1,0,0,0,1,0,0,1,2
1293600.0,3880.0,3.0,2.0,2,0,1,0,1,1,2,1,1
1293600.0,5680.0,3.0,1.0,2,0,0,1,1,0,1,1,1
1293600.0,2870.0,2.0,1.0,2,0,0,0,1,1,0,0,1
1293600.0,5010.0,3.0,1.0,2,0,1,0,1,1,0,1,1
1291640.0,4510.0,4.0,2.0,2,0,1,0,1,1,0,1,1
1283800.0,4000.0,3.0,1.0,2,0,1,1,1,1,1,1,0
1283800.0,3840.0,3.0,1.0,2,0,1,1,1,1,1,0,1
1274000.0,3760.0,3.0,1.0,1,0,1,1,1,1,2,1,1
1274000.0,3640.0,3.0,1.0,2,0,1,1,1,0,0,1,0
1274000.0,2550.0,3.0,1.0,2,0,1,0,1,1,0,1,0
1274000.0,5320.0,3.0,1.0,2,0,0,0,1,1,0,0,1
1274000.0,5360.0,3.0,1.0,2,0,1,1,1,1,2,0,2
1274000.0,3520.0,3.0,1.0,1,0,1,1,1,1,0,0,1
1274000.0,8400.0,4.0,1.0,4,0,1,1,1,1,3,1,2
1272040.0,4100.0,2.0,2.0,1,0,0,0,1,1,0,1,1
1272040.0,4990.0,4.0,2.0,2,0,0,0,1,1,0,0,0
1264200.0,3510.0,3.0,1.0,3,0,1,1,1,1,0,1,1
1264200.0,3450.0,3.0,1.0,2,0,1,0,1,1,1,1,1
1264200.0,9860.0,3.0,1.0,1,0,1,1,1,1,0,1,1
1264200.0,3520.0,2.0,1.0,2,0,1,1,1,1,0,0,0
1254400.0,4510.0,4.0,1.0,2,0,1,1,1,0,2,1,1
1254400.0,5885.0,2.0,1.0,1,0,1,1,1,0,1,1,2
1254400.0,4000.0,3.0,1.0,2,0,1,1,1,1,2,1,0
1254400.0,8250.0,3.0,1.0,1,0,1,1,1,1,0,1,0
1254400.0,4040.0,3.0,1.0,2,0,1,1,1,1,1,1,1
1252440.0,6360.0,2.0,1.0,1,0,1,0,1,0,1,1,0
1252440.0,3162.0,3.0,1.0,2,0,1,1,1,0,1,1,0
1252440.0,3510.0,3.0,1.0,2,0,1,1,1,1,0,1,1
1244600.0,3750.0,2.0,1.0,1,0,0,0,1,1,0,1,1
1234800.0,3968.0,3.0,1.0,2,1,1,1,1,1,0,1,1
1234800.0,4900.0,2.0,1.0,2,0,1,0,1,1,0,1,1
1232840.0,2880.0,3.0,1.0,2,0,1,1,1,1,0,0,1
1232840.0,4880.0,3.0,1.0,1,0,1,1,1,1,2,0,2
1232840.0,4920.0,3.0,1.0,2,0,1,1,1,1,1,1,1
1226960.0,4950.0,4.0,1.0,2,0,1,1,1,0,0,1,1
1225000.0,3900.0,3.0,1.0,2,0,1,1,1,1,0,1,2
1215200.0,4500.0,3.0,2.0,3,0,1,1,0,1,1,1,0
1215200.0,1905.0,5.0,1.0,2,1,1,0,1,1,0,1,1
1215200.0,4075.0,3.0,1.0,1,0,0,0,1,1,2,1,1
1215200.0,3500.0,4.0,1.0,2,0,1,1,1,1,2,1,0
1215200.0,6450.0,4.0,1.0,2,0,1,1,1,1,0,1,1
